category_slug,subcategory,fee_eur,eur_per_point,max_entries_marginal_rule,optimal_n_net_profit,expected_net_profit_eur_at_optimal_n,implied_breakeven_eur_per_point_first_entry,max_entries_relative_marginal_floor,marginal_relative_floor,structural_ceiling_metal_rows,festival_years_sampled
design,"A02i - Rebrand or Brand Refresh: Renewing a Current brand Identity",1140,1,0,0,0,2222.2222,20,0.15,2,1
design,"A02ii - New Brand Identity: the Creation of a New Brand Identity",1140,1,0,0,0,4056.9395,13,0.15,2,1
design,"A05 - Home Electronics and Appliances",1140,1,0,0,0,772.8814,14,0.15,1,1
design,"B01 - Posters",1140,1,0,0,0,3257.1429,19,0.15,9,9
design,"B02 - Flyers, Tickets, Invitations, Postcards, Christmas and Other Greetings Cards",1140,1,0,0,0,4789.916,18,0.15,1,1
design,"B04i - Printed Books",1140,1,0,0,0,8260.8696,4,0.15,2,1
design,"B05 - Self-Promotion",1140,1,0,0,0,18095.2381,11,0.15,1,1
design,"B06 - Promotional Item Design",1140,1,0,0,0,1200,1,0.15,6,1
design,"B07 - Publications & Brand Collateral",1140,1,0,0,0,16521.7391,2,0.15,1,1
design,"B08iii - Large Business",1140,1,0,0,0,4672.1311,9,0.15,1,1
design,"B09i - Channel Branding or Programme Branding",1140,1,0,0,0,1786.8339,8,0.15,1,1
design,"B09ii - Title Sequences",1140,1,0,0,0,2430.7036,15,0.15,2,1
design,"B09iii - Other Video Content",1140,1,0,0,0,2760.2906,20,0.15,1,1
design,"C01ii - Print and Poster",1140,1,0,0,0,3800,9,0.15,4,1
design,"C01iii - Packaging and Promotional Item Design",1140,1,0,0,0,2336.0656,12,0.15,2,1
design,"C02i - Publication",1140,1,0,0,0,1628.5714,14,0.15,1,1
design,"C02ii - Print and Poster",1140,1,0,0,0,4145.4545,12,0.15,1,1
design,"C02iv - Brands",1140,1,0,0,0,1598.878,14,0.15,1,1
design,"C03 - Photography",1140,1,0,0,0,3040,8,0.15,3,1
design,"C04 - Sound Design",1140,1,0,0,0,4056.9395,8,0.15,3,1
design,"C05 - Logo & Logo Type (designed for Large Scale Organisations)",1140,1,0,0,0,11400,15,0.15,1,1
design,"C06 - Logo & Logo Type (designed for Small Scale Organisations)",1140,1,0,0,0,10088.4956,7,0.15,1,1
design,"C07 - Writing for Brands / Tone of Voice",1140,1,0,0,0,3140.4959,8,0.15,4,1
design,"D01iii - Large Business",1140,1,0,0,0,3800,14,0.15,1,1
