year,category_slug,level2,level3,entries,status,url
2025,audio-radio,Innovation in Audio & Radio,A03: Voice Activation,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Innovation+in+Audio+%26+Radio%40%40A03%3A+Voice+Activation
2025,audio-radio,Innovation in Audio & Radio,A04: Branded Content/Podcasts,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Innovation+in+Audio+%26+Radio%40%40A04%3A+Branded+Content%2FPodcasts
2025,audio-radio,Innovation in Audio & Radio,A05: Content Placement,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Innovation+in+Audio+%26+Radio%40%40A05%3A+Content+Placement
2025,audio-radio,Innovation in Audio & Radio,A06: Audio-Led Creativity,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Innovation+in+Audio+%26+Radio%40%40A06%3A+Audio-Led+Creativity
2025,brand-experience-activation,Brand Experience & Activation: Sectors,A01: Consumer Goods,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Brand+Experience+%26+Activation%3A+Sectors%40%40A01%3A+Consumer+Goods
2025,brand-experience-activation,Brand Experience & Activation: Sectors,A02: Healthcare,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Brand+Experience+%26+Activation%3A+Sectors%40%40A02%3A+Healthcare
2025,brand-experience-activation,Brand Experience & Activation: Sectors,A03: Automotive,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Brand+Experience+%26+Activation%3A+Sectors%40%40A03%3A+Automotive
2025,brand-experience-activation,Brand Experience & Activation: Sectors,"A04: Travel, Leisure, Retail, Restaurants & Fast-Food Chains",2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Brand+Experience+%26+Activation%3A+Sectors%40%40A04%3A+Travel%2C+Leisure%2C+Retail%2C+Restaurants+%26+Fast-Food+Chains
2025,brand-experience-activation,Brand Experience & Activation: Sectors,A05: Media/Entertainment,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Brand+Experience+%26+Activation%3A+Sectors%40%40A05%3A+Media%2FEntertainment
2025,brand-experience-activation,Brand Experience & Activation: Sectors,A06: Consumer Services/Business to Business,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Brand+Experience+%26+Activation%3A+Sectors%40%40A06%3A+Consumer+Services%2FBusiness+to+Business
